ENSMUST00000000001	ENSMUSG00000000001	Gnai3
ENSMUST00000174080	ENSMUSG00000059714	Flot1
ENSMUST00000174081	ENSMUSG00000029022	Miip
ENSMUST00000174082	ENSMUSG00000092369	1700039E22Rik
ENSMUST00000174083	ENSMUSG00000030688	Stard10
ENSMUST00000174084	ENSMUSG00000007029	Vars
ENSMUST00000174086	ENSMUSG00000038518	Jarid2
ENSMUST00000174088	ENSMUSG00000092519	Actl9
ENSMUST00000174089	ENSMUSG00000042632	Pla2g6
ENSMUST00000174090	ENSMUSG00000041769	Ppp2r2d
ENSMUST00000174091	ENSMUSG00000031255	Sytl4
ENSMUST00000174092	ENSMUSG00000040482	Dom3z
ENSMUST00000174095	ENSMUSG00000019082	Slc25a22
ENSMUST00000174096	ENSMUSG00000029767	Calu
ENSMUST00000174097	ENSMUSG00000063646	Jakmip1
ENSMUST00000174098	ENSMUSG00000026586	Prrx1
ENSMUST00000174099	ENSMUSG00000004591	Pkn2
ENSMUST00000174101	ENSMUSG00000054128	H2-T3
ENSMUST00000174102	ENSMUSG00000020661	Dnmt3a
ENSMUST00000174103	ENSMUSG00000043940	Wdfy3
ENSMUST00000174104	ENSMUSG00000024299	Adamts10
ENSMUST00000174105	ENSMUSG00000032113	Chek1
ENSMUST00000174107	ENSMUSG00000073399	Trim40
ENSMUST00000174109	ENSMUSG00000071454	Dtnb
ENSMUST00000174111	ENSMUSG00000038943	Prc1
ENSMUST00000174113	ENSMUSG00000020265	Sumo3
ENSMUST00000174117	ENSMUSG00000036185	Sapcd1
ENSMUST00000174118	ENSMUSG00000079608	Stard6
ENSMUST00000174120	ENSMUSG00000026028	Trak2
ENSMUST00000174121	ENSMUSG00000047146	Tet1
ENSMUST00000174124	ENSMUSG00000061607	Mdc1
ENSMUST00000174126	ENSMUSG00000064068	Mtx1
ENSMUST00000174127	ENSMUSG00000053110	Yap1
ENSMUST00000174128	ENSMUSG00000038762	Abcf1
ENSMUST00000174129	ENSMUSG00000038838	Vars2
ENSMUST00000174130	ENSMUSG00000039656	Rxrb
ENSMUST00000174132	ENSMUSG00000047409	Ctdspl
ENSMUST00000174133	ENSMUSG00000060261	Gtf2i
ENSMUST00000174134	ENSMUSG00000021519	Mterfd1
ENSMUST00000174135	ENSMUSG00000015002	Efr3a
ENSMUST00000174137	ENSMUSG00000038843	Gcnt1
ENSMUST00000174139	ENSMUSG00000092292	Olfr113
ENSMUST00000174140	ENSMUSG00000030688	Stard10
ENSMUST00000174142	ENSMUSG00000037470	Uggt1
ENSMUST00000174144	ENSMUSG00000002985	Apoe
ENSMUST00000174145	ENSMUSG00000032423	Syncrip
ENSMUST00000174146	ENSMUSG00000002307	Daxx
ENSMUST00000174147	ENSMUSG00000074264	Amy1
ENSMUST00000174148	ENSMUSG00000022216	Psme1
ENSMUST00000174149	ENSMUSG00000024856	Cdk2ap2
ENSMUST00000174151	ENSMUSG00000066772	Obox3
ENSMUST00000174152	ENSMUSG00000021952	Xpo4
ENSMUST00000174154	ENSMUSG00000092607	Scnm1
ENSMUST00000174155	ENSMUSG00000060261	Gtf2i
ENSMUST00000174156	ENSMUSG00000015461	Atf6b
ENSMUST00000174157	ENSMUSG00000059070	Rpl18
ENSMUST00000174158	ENSMUSG00000054054	Olfr309
ENSMUST00000174160	ENSMUSG00000039458	Mtmr12
ENSMUST00000174161	ENSMUSG00000067212	H2-T23
ENSMUST00000174162	ENSMUSG00000057836	Xlr3a
ENSMUST00000174163	ENSMUSG00000050088	1600012H06Rik
ENSMUST00000174164	ENSMUSG00000019432	Ddx39b
ENSMUST00000174165	ENSMUSG00000031753	Cog4
ENSMUST00000174166	ENSMUSG00000021959	Lats2
ENSMUST00000174169	ENSMUSG00000004591	Pkn2
ENSMUST00000174170	ENSMUSG00000024299	Adamts10
ENSMUST00000174171	ENSMUSG00000022514	Il1rap
ENSMUST00000174172	ENSMUSG00000038943	Prc1
ENSMUST00000174173	ENSMUSG00000092203	1110038B12Rik
ENSMUST00000174175	ENSMUSG00000008668	Rps18
ENSMUST00000174176	ENSMUSG00000024670	Cd6
ENSMUST00000174177	ENSMUSG00000092300	Cdk3-ps
ENSMUST00000174178	ENSMUSG00000020868	Xylt2
ENSMUST00000174179	ENSMUSG00000079436	Kcnj13
ENSMUST00000174180	ENSMUSG00000028399	Ptprd
ENSMUST00000174181	ENSMUSG00000024462	Gabbr1
ENSMUST00000174182	ENSMUSG00000060261	Gtf2i
ENSMUST00000174183	ENSMUSG00000028033	Kcnq5
ENSMUST00000174185	ENSMUSG00000054514	2610204G22Rik
ENSMUST00000174186	ENSMUSG00000028525	Pde4b
ENSMUST00000174187	ENSMUSG00000001665	Gstt3
ENSMUST00000174188	ENSMUSG00000060261	Gtf2i
ENSMUST00000174189	ENSMUSG00000047146	Tet1
ENSMUST00000174190	ENSMUSG00000073414	AU023871
ENSMUST00000174191	ENSMUSG00000002985	Apoe
ENSMUST00000174192	ENSMUSG00000040263	Klhdc4
ENSMUST00000174193	ENSMUSG00000032517	Mobp
ENSMUST00000174194	ENSMUSG00000029706	Pax4
ENSMUST00000174195	ENSMUSG00000050747	Trim15
ENSMUST00000174196	ENSMUSG00000030795	Fus
ENSMUST00000174197	ENSMUSG00000045409	Trim39
ENSMUST00000174199	ENSMUSG00000038943	Prc1
ENSMUST00000174201	ENSMUSG00000056888	Glipr1
ENSMUST00000174202	ENSMUSG00000022514	Il1rap
ENSMUST00000174203	ENSMUSG00000092622	Khdc3
ENSMUST00000174204	ENSMUSG00000062818	Vmn1r51
ENSMUST00000174206	ENSMUSG00000040263	Klhdc4
ENSMUST00000174207	ENSMUSG00000024406	Pou5f1
ENSMUST00000174208	ENSMUSG00000023084	Lrrc71
ENSMUST00000174209	ENSMUSG00000015134	Aldh1a3
ENSMUST00000174210	ENSMUSG00000030522	Mtmr10
ENSMUST00000174211	ENSMUSG00000026921	Egfl7
ENSMUST00000174213	ENSMUSG00000021959	Lats2
ENSMUST00000174215	ENSMUSG00000015134	Aldh1a3
ENSMUST00000174218	ENSMUSG00000064068	Mtx1
ENSMUST00000174219	ENSMUSG00000028073	Pear1
ENSMUST00000174220	ENSMUSG00000042506	Usp22
ENSMUST00000174223	ENSMUSG00000068877	Selenbp2
ENSMUST00000174224	ENSMUSG00000037470	Uggt1
ENSMUST00000174225	ENSMUSG00000035021	Baz1a
ENSMUST00000174226	ENSMUSG00000040356	Skiv2l
ENSMUST00000174227	ENSMUSG00000059714	Flot1
ENSMUST00000174228	ENSMUSG00000034254	Agpat1
ENSMUST00000174229	ENSMUSG00000022394	L3mbtl2
ENSMUST00000174233	ENSMUSG00000029209	Gnpda2
ENSMUST00000174234	ENSMUSG00000000392	Fap
ENSMUST00000174236	ENSMUSG00000038843	Gcnt1
ENSMUST00000174237	ENSMUSG00000053046	Brsk2
ENSMUST00000174240	ENSMUSG00000024151	Msh2
ENSMUST00000174241	ENSMUSG00000007050	Lsm2
ENSMUST00000174242	ENSMUSG00000014030	Pax5
ENSMUST00000174243	ENSMUSG00000033335	Dnm2
ENSMUST00000174244	ENSMUSG00000007739	Cct4
ENSMUST00000174246	ENSMUSG00000039269	2300002M23Rik
ENSMUST00000174247	ENSMUSG00000053716	Dusp7
ENSMUST00000174248	ENSMUSG00000092300	Cdk3-ps
ENSMUST00000174249	ENSMUSG00000045333	Zfp423
ENSMUST00000174251	ENSMUSG00000012520	Phox2b
ENSMUST00000174252	ENSMUSG00000069539	Scyl2
ENSMUST00000174253	ENSMUSG00000078619	Smarcd2
ENSMUST00000174254	ENSMUSG00000038943	Prc1
ENSMUST00000174255	ENSMUSG00000040263	Klhdc4
ENSMUST00000174257	ENSMUSG00000039377	Hlx
ENSMUST00000174259	ENSMUSG00000022216	Psme1
ENSMUST00000174260	ENSMUSG00000007029	Vars
ENSMUST00000174263	ENSMUSG00000037860	Aim2
ENSMUST00000174264	ENSMUSG00000058761	Rnf169
ENSMUST00000174265	ENSMUSG00000004266	Ptpn6
ENSMUST00000174266	ENSMUSG00000037470	Uggt1
ENSMUST00000174267	ENSMUSG00000028073	Pear1
ENSMUST00000174268	ENSMUSG00000064120	Mocs1
ENSMUST00000174269	ENSMUSG00000032423	Syncrip
ENSMUST00000174270	ENSMUSG00000041375	Ccdc9
ENSMUST00000174271	ENSMUSG00000030994	D7Ertd443e
ENSMUST00000174272	ENSMUSG00000020661	Dnmt3a
ENSMUST00000174273	ENSMUSG00000039206	Daglb
ENSMUST00000174274	ENSMUSG00000022394	L3mbtl2
ENSMUST00000174275	ENSMUSG00000024429	Gnl1
ENSMUST00000174276	ENSMUSG00000039607	Rbms3
ENSMUST00000174278	ENSMUSG00000031562	Dctd
ENSMUST00000174279	ENSMUSG00000024371	C2
ENSMUST00000174280	ENSMUSG00000029767	Calu
ENSMUST00000174281	ENSMUSG00000024392	Bag6
ENSMUST00000174282	ENSMUSG00000032423	Syncrip
ENSMUST00000174285	ENSMUSG00000092570	2210019I11Rik
ENSMUST00000174286	ENSMUSG00000033735	Spr
ENSMUST00000174288	ENSMUSG00000034850	Tmem127
ENSMUST00000174290	ENSMUSG00000071454	Dtnb
ENSMUST00000174291	ENSMUSG00000030688	Stard10
ENSMUST00000174293	ENSMUSG00000071454	Dtnb
ENSMUST00000174294	ENSMUSG00000032872	Cyb5r4
ENSMUST00000174295	ENSMUSG00000020265	Sumo3
ENSMUST00000174297	ENSMUSG00000059714	Flot1
ENSMUST00000174298	ENSMUSG00000021281	Tnfaip2
ENSMUST00000174299	ENSMUSG00000039656	Rxrb
ENSMUST00000174300	ENSMUSG00000053110	Yap1
ENSMUST00000174301	ENSMUSG00000042506	Usp22
ENSMUST00000174302	ENSMUSG00000020923	Ubtf
ENSMUST00000174303	ENSMUSG00000046364	Rpl27a
ENSMUST00000174305	ENSMUSG00000074369	Obox2
ENSMUST00000174306	ENSMUSG00000024387	Csnk2b
ENSMUST00000174308	ENSMUSG00000024422	Dhx16
ENSMUST00000174309	ENSMUSG00000053046	Brsk2
ENSMUST00000174310	ENSMUSG00000056755	Grm7
ENSMUST00000174311	ENSMUSG00000043311	D17H6S53E
ENSMUST00000174314	ENSMUSG00000041444	Arhgap32
ENSMUST00000174315	ENSMUSG00000026456	Cyb5r1
ENSMUST00000174317	ENSMUSG00000037876	Jmjd1c
ENSMUST00000174318	ENSMUSG00000041578	Crx
ENSMUST00000174319	ENSMUSG00000014030	Pax5
ENSMUST00000174320	ENSMUSG00000096798	Gm6309
ENSMUST00000174321	ENSMUSG00000092564	BC051226
ENSMUST00000174323	ENSMUSG00000028114	Mettl14
ENSMUST00000174324	ENSMUSG00000064068	Mtx1
ENSMUST00000174325	ENSMUSG00000073411	H2-D1
ENSMUST00000174326	ENSMUSG00000007050	Lsm2
ENSMUST00000174327	ENSMUSG00000025316	Banp
ENSMUST00000174330	ENSMUSG00000024422	Dhx16
ENSMUST00000174331	ENSMUSG00000024109	Nrxn1
ENSMUST00000174333	ENSMUSG00000033545	Znrf1
ENSMUST00000174334	ENSMUSG00000048000	Gigyf2
ENSMUST00000174335	ENSMUSG00000026069	Il1rl1
ENSMUST00000174336	ENSMUSG00000067787	Blcap
ENSMUST00000174337	ENSMUSG00000024109	Nrxn1
ENSMUST00000174339	ENSMUSG00000021519	Mterfd1
ENSMUST00000174343	ENSMUSG00000028960	Ube4b
ENSMUST00000174344	ENSMUSG00000046157	Tmem229b
ENSMUST00000174347	ENSMUSG00000024462	Gabbr1
ENSMUST00000174348	ENSMUSG00000024299	Adamts10
ENSMUST00000174349	ENSMUSG00000024436	Mrps18b
ENSMUST00000174351	ENSMUSG00000022160	Mettl3
ENSMUST00000174352	ENSMUSG00000022217	Emc9
ENSMUST00000174353	ENSMUSG00000043969	Emx2
ENSMUST00000174354	ENSMUSG00000060261	Gtf2i
ENSMUST00000174355	ENSMUSG00000002985	Apoe
ENSMUST00000174357	ENSMUSG00000029475	Gm2479
ENSMUST00000174358	ENSMUSG00000041578	Crx
ENSMUST00000174359	ENSMUSG00000026028	Trak2
ENSMUST00000174360	ENSMUSG00000022160	Mettl3
ENSMUST00000174361	ENSMUSG00000032423	Syncrip
ENSMUST00000174362	ENSMUSG00000061549	Olfr301
ENSMUST00000174363	ENSMUSG00000040356	Skiv2l
ENSMUST00000174364	ENSMUSG00000095837	Gm4141
ENSMUST00000174366	ENSMUSG00000024422	Dhx16
ENSMUST00000174367	ENSMUSG00000013629	Cad
ENSMUST00000174368	ENSMUSG00000070847	Vmn2r30
ENSMUST00000174369	ENSMUSG00000057103	Cml1
ENSMUST00000174370	ENSMUSG00000036962	Gm101
ENSMUST00000174372	ENSMUSG00000028645	Slc2a1
ENSMUST00000174375	ENSMUSG00000042632	Pla2g6
ENSMUST00000174376	ENSMUSG00000033545	Znrf1
ENSMUST00000174377	ENSMUSG00000068877	Selenbp2
ENSMUST00000174379	ENSMUSG00000031562	Dctd
ENSMUST00000174380	ENSMUSG00000092239	1700031A10Rik
ENSMUST00000174381	ENSMUSG00000023084	Lrrc71
ENSMUST00000174382	ENSMUSG00000079491	H2-T10
ENSMUST00000174383	ENSMUSG00000048502	Duxbl1
ENSMUST00000174385	ENSMUSG00000092545	Gm20319
ENSMUST00000174386	ENSMUSG00000024393	Prrc2a
ENSMUST00000174387	ENSMUSG00000032376	Usp3
ENSMUST00000174388	ENSMUSG00000096658	Vmn2r39
ENSMUST00000174390	ENSMUSG00000061082	Plac1
ENSMUST00000174391	ENSMUSG00000032423	Syncrip
ENSMUST00000174392	ENSMUSG00000067148	Polr1c
ENSMUST00000174394	ENSMUSG00000038518	Jarid2
ENSMUST00000174395	ENSMUSG00000051860	Samd7
ENSMUST00000174396	ENSMUSG00000015165	Hnrnpl
ENSMUST00000174397	ENSMUSG00000026586	Prrx1
ENSMUST00000174398	ENSMUSG00000031753	Cog4
ENSMUST00000174399	ENSMUSG00000073422	H2-Ke6
ENSMUST00000174400	ENSMUSG00000020923	Ubtf
ENSMUST00000174401	ENSMUSG00000022394	L3mbtl2
ENSMUST00000174402	ENSMUSG00000068921	Dap3
ENSMUST00000174404	ENSMUSG00000030325	Klrb1c
ENSMUST00000174405	ENSMUSG00000053046	Brsk2
ENSMUST00000174406	ENSMUSG00000027684	Mecom
ENSMUST00000174407	ENSMUSG00000092416	Zfp141
ENSMUST00000174408	ENSMUSG00000037876	Jmjd1c
ENSMUST00000174409	ENSMUSG00000092518	Fam71e2
ENSMUST00000174410	ENSMUSG00000041354	Rgl2
ENSMUST00000174411	ENSMUSG00000025880	Smad7
ENSMUST00000174412	ENSMUSG00000086938	4930481A15Rik
ENSMUST00000174413	ENSMUSG00000027684	Mecom
ENSMUST00000174414	ENSMUSG00000071454	Dtnb
ENSMUST00000174415	ENSMUSG00000086938	4930481A15Rik
ENSMUST00000174417	ENSMUSG00000055240	Zfp101
ENSMUST00000174418	ENSMUSG00000039458	Mtmr12
ENSMUST00000174419	ENSMUSG00000022216	Psme1
ENSMUST00000174420	ENSMUSG00000040929	Rfx3
ENSMUST00000174422	ENSMUSG00000004591	Pkn2
ENSMUST00000174423	ENSMUSG00000029706	Pax4
ENSMUST00000174424	ENSMUSG00000021952	Xpo4
ENSMUST00000174426	ENSMUSG00000024309	H2-Ke2
ENSMUST00000174428	ENSMUSG00000027684	Mecom
ENSMUST00000174429	ENSMUSG00000069539	Scyl2
ENSMUST00000174432	ENSMUSG00000040606	Kazn
ENSMUST00000174434	ENSMUSG00000007050	Lsm2
ENSMUST00000174435	ENSMUSG00000031543	Ank1
ENSMUST00000174436	ENSMUSG00000024426	Atat1
ENSMUST00000174437	ENSMUSG00000024018	Ccdc167
ENSMUST00000174439	ENSMUSG00000041729	Coro2b
ENSMUST00000174442	ENSMUSG00000041354	Rgl2
ENSMUST00000174443	ENSMUSG00000066772	Obox3
ENSMUST00000174445	ENSMUSG00000025316	Banp
ENSMUST00000174448	ENSMUSG00000000392	Fap
ENSMUST00000174449	ENSMUSG00000024422	Dhx16
ENSMUST00000174450	ENSMUSG00000034308	Sdr42e1
ENSMUST00000174451	ENSMUSG00000092297	Gm4214
ENSMUST00000174454	ENSMUSG00000033545	Znrf1
ENSMUST00000174455	ENSMUSG00000079262	Slco1a6
ENSMUST00000174456	ENSMUSG00000024462	Gabbr1
ENSMUST00000174457	ENSMUSG00000021541	Trpc7
ENSMUST00000174458	ENSMUSG00000036962	Gm101
ENSMUST00000174459	ENSMUSG00000090523	Gypc
ENSMUST00000174461	ENSMUSG00000023852	Chd1
ENSMUST00000174462	ENSMUSG00000060510	Zfp266
ENSMUST00000174463	ENSMUSG00000051390	Zbtb22
ENSMUST00000174464	ENSMUSG00000092203	1110038B12Rik
ENSMUST00000174465	ENSMUSG00000026921	Egfl7
ENSMUST00000174466	ENSMUSG00000036315	Znrd1
ENSMUST00000174467	ENSMUSG00000092564	BC051226
ENSMUST00000174468	ENSMUSG00000005354	Txn2
ENSMUST00000174469	ENSMUSG00000068302	Noto
ENSMUST00000174470	ENSMUSG00000036036	Zfp57
ENSMUST00000174471	ENSMUSG00000067212	H2-T23
ENSMUST00000174472	ENSMUSG00000038683	Pak1ip1
ENSMUST00000174474	ENSMUSG00000032113	Chek1
ENSMUST00000174475	ENSMUSG00000015478	Rnf5
ENSMUST00000174476	ENSMUSG00000002984	Tomm40
ENSMUST00000174477	ENSMUSG00000015165	Hnrnpl
ENSMUST00000174478	ENSMUSG00000024392	Bag6
ENSMUST00000174479	ENSMUSG00000071454	Dtnb
ENSMUST00000174480	ENSMUSG00000044067	Gpr22
ENSMUST00000174481	ENSMUSG00000003644	Rps6ka1
ENSMUST00000174482	ENSMUSG00000048000	Gigyf2
ENSMUST00000174483	ENSMUSG00000020661	Dnmt3a
ENSMUST00000174484	ENSMUSG00000022216	Psme1
ENSMUST00000174485	ENSMUSG00000036990	Otud4
ENSMUST00000174486	ENSMUSG00000007379	Dennd2c
ENSMUST00000174488	ENSMUSG00000030188	Magohb
ENSMUST00000174489	ENSMUSG00000092416	Zfp141
ENSMUST00000174490	ENSMUSG00000004231	Pax2
ENSMUST00000174491	ENSMUSG00000068921	Dap3
ENSMUST00000174492	ENSMUSG00000069539	Scyl2
ENSMUST00000174493	ENSMUSG00000007039	Ddah2
ENSMUST00000174494	ENSMUSG00000072672	Duxbl3
ENSMUST00000174495	ENSMUSG00000070469	Adamtsl3
ENSMUST00000174496	ENSMUSG00000015452	Ager
ENSMUST00000174497	ENSMUSG00000022394	L3mbtl2
ENSMUST00000174498	ENSMUSG00000041881	Ndufa7
ENSMUST00000174499	ENSMUSG00000053046	Brsk2
ENSMUST00000174501	ENSMUSG00000048000	Gigyf2
ENSMUST00000174502	ENSMUSG00000092599	1700010K23Rik
ENSMUST00000174503	ENSMUSG00000034850	Tmem127
ENSMUST00000174504	ENSMUSG00000041528	Rnf123
ENSMUST00000174507	ENSMUSG00000079553	Kifc1
ENSMUST00000174508	ENSMUSG00000092607	Scnm1
ENSMUST00000174510	ENSMUSG00000009293	Ube2g2
ENSMUST00000174512	ENSMUSG00000055240	Zfp101
ENSMUST00000174513	ENSMUSG00000060261	Gtf2i
ENSMUST00000174514	ENSMUSG00000024856	Cdk2ap2
ENSMUST00000174519	ENSMUSG00000015461	Atf6b
ENSMUST00000174521	ENSMUSG00000090509	Sfta2
ENSMUST00000174522	ENSMUSG00000028479	Gne
ENSMUST00000174524	ENSMUSG00000036036	Zfp57
ENSMUST00000174525	ENSMUSG00000067235	H2-Q10
ENSMUST00000174526	ENSMUSG00000015165	Hnrnpl
ENSMUST00000174527	ENSMUSG00000038683	Pak1ip1
ENSMUST00000174529	ENSMUSG00000005354	Txn2
ENSMUST00000174531	ENSMUSG00000028399	Ptprd
ENSMUST00000174532	ENSMUSG00000034673	Pbx2
ENSMUST00000174534	ENSMUSG00000090509	Sfta2
ENSMUST00000174535	ENSMUSG00000048000	Gigyf2
ENSMUST00000174538	ENSMUSG00000094284	Vmn1r112
ENSMUST00000174539	ENSMUSG00000040856	Dlk1
ENSMUST00000174540	ENSMUSG00000032872	Cyb5r4
ENSMUST00000174541	ENSMUSG00000002307	Daxx
ENSMUST00000174542	ENSMUSG00000031255	Sytl4
ENSMUST00000174544	ENSMUSG00000079298	Klrb1b
ENSMUST00000174545	ENSMUSG00000021952	Xpo4
ENSMUST00000174546	ENSMUSG00000009293	Ube2g2
ENSMUST00000174547	ENSMUSG00000071454	Dtnb
ENSMUST00000174548	ENSMUSG00000015165	Hnrnpl
ENSMUST00000174549	ENSMUSG00000074452	Pate2
ENSMUST00000174550	ENSMUSG00000086584	Gm12002
ENSMUST00000174551	ENSMUSG00000038683	Pak1ip1
ENSMUST00000174552	ENSMUSG00000048264	Dip2c
ENSMUST00000174553	ENSMUSG00000042942	Greb1l
ENSMUST00000174554	ENSMUSG00000015452	Ager
ENSMUST00000174555	ENSMUSG00000032058	Ppp2r1b
ENSMUST00000174556	ENSMUSG00000007035	Msh5
ENSMUST00000174557	ENSMUSG00000038518	Jarid2
ENSMUST00000174558	ENSMUSG00000092225	Gm2381
ENSMUST00000174559	ENSMUSG00000041408	Wapal
ENSMUST00000174560	ENSMUSG00000024176	Sox8
ENSMUST00000174561	ENSMUSG00000037894	H2afz
ENSMUST00000174563	ENSMUSG00000022216	Psme1
ENSMUST00000174564	ENSMUSG00000072675	Duxbl2
ENSMUST00000174566	ENSMUSG00000029191	Rfc1
ENSMUST00000174567	ENSMUSG00000020940	1700023F06Rik
ENSMUST00000174569	ENSMUSG00000040482	Dom3z
ENSMUST00000174570	ENSMUSG00000046408	1700067K01Rik
ENSMUST00000174571	ENSMUSG00000068921	Dap3
ENSMUST00000174572	ENSMUSG00000026921	Egfl7
ENSMUST00000174573	ENSMUSG00000043969	Emx2
ENSMUST00000174574	ENSMUSG00000024436	Mrps18b
ENSMUST00000174575	ENSMUSG00000069539	Scyl2
ENSMUST00000174577	ENSMUSG00000053110	Yap1
ENSMUST00000174578	ENSMUSG00000039656	Rxrb
ENSMUST00000174579	ENSMUSG00000030707	Coro1a
ENSMUST00000174581	ENSMUSG00000023084	Lrrc71
ENSMUST00000174583	ENSMUSG00000048000	Gigyf2
ENSMUST00000174584	ENSMUSG00000036591	Arhgap21
ENSMUST00000174585	ENSMUSG00000022159	Rab2b
ENSMUST00000174586	ENSMUSG00000028382	Ptbp3
ENSMUST00000174587	ENSMUSG00000046408	1700067K01Rik
ENSMUST00000174588	ENSMUSG00000024319	Vps52
ENSMUST00000174589	ENSMUSG00000067235	H2-Q10
ENSMUST00000174590	ENSMUSG00000015222	Map2
ENSMUST00000174591	ENSMUSG00000015002	Efr3a
ENSMUST00000174592	ENSMUSG00000059554	Ccdc28a
ENSMUST00000174593	ENSMUSG00000020185	E2f7
ENSMUST00000174594	ENSMUSG00000029700	Slc13a1
ENSMUST00000174595	ENSMUSG00000034254	Agpat1
ENSMUST00000174598	ENSMUSG00000043940	Wdfy3
ENSMUST00000174599	ENSMUSG00000038943	Prc1
ENSMUST00000174601	ENSMUSG00000015002	Efr3a
ENSMUST00000174602	ENSMUSG00000000804	Usp32
ENSMUST00000174603	ENSMUSG00000007035	Msh5
ENSMUST00000174604	ENSMUSG00000053110	Yap1
ENSMUST00000174605	ENSMUSG00000048000	Gigyf2
ENSMUST00000174606	ENSMUSG00000021520	Uqcrb
ENSMUST00000174608	ENSMUSG00000042099	Kank3
ENSMUST00000174609	ENSMUSG00000008668	Rps18
ENSMUST00000174613	ENSMUSG00000024392	Bag6
ENSMUST00000174614	ENSMUSG00000015461	Atf6b
ENSMUST00000174615	ENSMUSG00000015002	Efr3a
ENSMUST00000174616	ENSMUSG00000018906	P4ha2
ENSMUST00000174618	ENSMUSG00000022217	Emc9
ENSMUST00000174620	ENSMUSG00000008668	Rps18
ENSMUST00000174623	ENSMUSG00000028023	Pitx2
ENSMUST00000174625	ENSMUSG00000079491	H2-T10
ENSMUST00000174628	ENSMUSG00000032058	Ppp2r1b
ENSMUST00000174629	ENSMUSG00000063646	Jakmip1
ENSMUST00000174631	ENSMUSG00000059554	Ccdc28a
ENSMUST00000174632	ENSMUSG00000030795	Fus
ENSMUST00000174633	ENSMUSG00000022479	Vdr
ENSMUST00000174635	ENSMUSG00000006930	Hap1
ENSMUST00000174637	ENSMUSG00000094748	Gm8677
ENSMUST00000174639	ENSMUSG00000071454	Dtnb
ENSMUST00000174640	ENSMUSG00000015452	Ager
ENSMUST00000174641	ENSMUSG00000041444	Arhgap32
ENSMUST00000174643	ENSMUSG00000094700	Vmn1r158
ENSMUST00000174644	ENSMUSG00000022514	Il1rap
ENSMUST00000174645	ENSMUSG00000039656	Rxrb
ENSMUST00000174646	ENSMUSG00000002307	Daxx
ENSMUST00000174647	ENSMUSG00000064120	Mocs1
ENSMUST00000174648	ENSMUSG00000027971	Ndst4
ENSMUST00000174649	ENSMUSG00000001665	Gstt3
ENSMUST00000174653	ENSMUSG00000063334	Krr1
ENSMUST00000174656	ENSMUSG00000026921	Egfl7
ENSMUST00000174659	ENSMUSG00000007739	Cct4
ENSMUST00000174661	ENSMUSG00000028023	Pitx2
ENSMUST00000174662	ENSMUSG00000008668	Rps18
ENSMUST00000174663	ENSMUSG00000071454	Dtnb
ENSMUST00000174665	ENSMUSG00000040263	Klhdc4
ENSMUST00000174666	ENSMUSG00000024299	Adamts10
ENSMUST00000174667	ENSMUSG00000079608	Stard6
ENSMUST00000174668	ENSMUSG00000092528	Nlrp1c-ps
ENSMUST00000174669	ENSMUSG00000036492	Rnf39
ENSMUST00000174670	ENSMUSG00000024334	H2-Oa
ENSMUST00000174671	ENSMUSG00000048000	Gigyf2
ENSMUST00000174672	ENSMUSG00000036036	Zfp57
ENSMUST00000174674	ENSMUSG00000068327	Tlx2
ENSMUST00000174676	ENSMUSG00000041354	Rgl2
ENSMUST00000174678	ENSMUSG00000057443	Olfr138
ENSMUST00000174679	ENSMUSG00000031753	Cog4
ENSMUST00000174680	ENSMUSG00000004591	Pkn2
ENSMUST00000174683	ENSMUSG00000038518	Jarid2
ENSMUST00000174684	ENSMUSG00000040482	Dom3z
ENSMUST00000174685	ENSMUSG00000038375	Trp53inp2
ENSMUST00000174688	ENSMUSG00000032423	Syncrip
ENSMUST00000174689	ENSMUSG00000007739	Cct4
ENSMUST00000174692	ENSMUSG00000021281	Tnfaip2
ENSMUST00000174693	ENSMUSG00000073402	Gm8909
ENSMUST00000174694	ENSMUSG00000021959	Lats2
ENSMUST00000174695	ENSMUSG00000024300	Myo1f
ENSMUST00000174696	ENSMUSG00000070419	Cyp3a57
ENSMUST00000174697	ENSMUSG00000046157	Tmem229b
ENSMUST00000174698	ENSMUSG00000043940	Wdfy3
ENSMUST00000174699	ENSMUSG00000073409	H2-Q6
ENSMUST00000174700	ENSMUSG00000030994	D7Ertd443e
ENSMUST00000174701	ENSMUSG00000015134	Aldh1a3
ENSMUST00000174702	ENSMUSG00000031753	Cog4
ENSMUST00000174703	ENSMUSG00000024151	Msh2
ENSMUST00000174707	ENSMUSG00000015468	Notch4
ENSMUST00000174709	ENSMUSG00000040263	Klhdc4
ENSMUST00000174710	ENSMUSG00000002985	Apoe
ENSMUST00000174711	ENSMUSG00000036398	Ppp1r11
ENSMUST00000174712	ENSMUSG00000074365	Crxos1
ENSMUST00000174713	ENSMUSG00000028073	Pear1
ENSMUST00000174714	ENSMUSG00000092203	1110038B12Rik
ENSMUST00000174716	ENSMUSG00000037470	Uggt1
ENSMUST00000174717	ENSMUSG00000040263	Klhdc4
ENSMUST00000174718	ENSMUSG00000037820	Tgm2
ENSMUST00000174720	ENSMUSG00000053483	Usp21
ENSMUST00000174721	ENSMUSG00000046157	Tmem229b
ENSMUST00000174723	ENSMUSG00000031753	Cog4
ENSMUST00000174724	ENSMUSG00000032872	Cyb5r4
ENSMUST00000174726	ENSMUSG00000020923	Ubtf
